velx,vely,velz,accx,accy,accz
-2.015059,-0.711145,-0.282953,-0.805848,-0.284396,-0.113157
-2.055562,-0.725439,-0.288640,-0.838569,-0.295944,-0.117751
-2.096879,-0.740020,-0.294442,-0.872618,-0.307960,-0.122532
-2.139026,-0.754895,-0.300360,-0.908050,-0.320465,-0.127508
-2.182020,-0.770068,-0.306397,-0.944921,-0.333477,-0.132685
-2.225879,-0.785546,-0.312556,-0.983288,-0.347017,-0.138073
-2.259267,-0.797329,-0.317244,-0.506554,-0.178771,-0.071130
-2.281859,-0.805303,-0.320417,-0.516736,-0.182364,-0.072560
-2.304678,-0.813356,-0.323621,-0.527122,-0.186029,-0.074018
-2.327725,-0.821489,-0.326857,-0.537717,-0.189769,-0.075506
-2.351002,-0.829704,-0.330126,-0.548525,-0.193583,-0.077023
-2.374512,-0.838001,-0.333427,-0.559551,-0.197474,-0.078572
-2.398257,-0.846381,-0.336761,-0.570798,-0.201443,-0.080151
-2.422240,-0.854845,-0.340129,-0.582271,-0.205492,-0.081762
-2.446462,-0.863394,-0.343530,-0.593974,-0.209623,-0.083405
-2.470927,-0.872027,-0.346965,-0.605913,-0.213836,-0.085082
-2.495636,-0.880748,-0.350435,-0.618092,-0.218134,-0.086792
-2.520592,-0.889555,-0.353939,-0.630516,-0.222519,-0.088536
-2.545798,-0.898451,-0.357479,-0.643189,-0.226991,-0.090316
-2.571256,-0.907435,-0.361054,-0.656117,-0.231554,-0.092131
-2.596969,-0.916510,-0.364664,-0.669305,-0.236208,-0.093983
-2.622938,-0.925675,-0.368311,-0.682758,-0.240956,-0.095872
-2.610018,-0.921115,-0.366497,1.351963,0.477128,0.189842
-2.571256,-0.907435,-0.361054,0.656117,0.231554,0.092131
-2.545798,-0.898451,-0.357479,0.643189,0.226991,0.090316
-2.520592,-0.889555,-0.353939,0.630516,0.222519,0.088536
-2.495636,-0.880748,-0.350435,0.618092,0.218134,0.086792
-2.470927,-0.872027,-0.346965,0.605913,0.213836,0.085082
-2.446462,-0.863394,-0.343530,0.593974,0.209623,0.083405
-2.422240,-0.854845,-0.340129,0.582271,0.205492,0.081762
-2.398257,-0.846381,-0.336761,0.570798,0.201443,0.080151
-2.374512,-0.838001,-0.333427,0.559551,0.197474,0.078572
-2.351002,-0.829704,-0.330126,0.548525,0.193583,0.077023
-2.327725,-0.821489,-0.326857,0.537717,0.189769,0.075506
-2.304678,-0.813356,-0.323621,0.527122,0.186029,0.074018
-2.281859,-0.805303,-0.320417,0.516736,0.182364,0.072560
-2.259267,-0.797329,-0.317244,0.506554,0.178771,0.071130
-2.225879,-0.785546,-0.312556,0.983288,0.347017,0.138073
-2.182020,-0.770068,-0.306397,0.944921,0.333477,0.132685
-2.139026,-0.754895,-0.300360,0.908050,0.320465,0.127508
-2.096879,-0.740020,-0.294442,0.872618,0.307960,0.122532
-2.055562,-0.725439,-0.288640,0.838569,0.295944,0.117751
-2.015059,-0.711145,-0.282953,0.805848,0.284396,0.113157
-1.975355,-0.697133,-0.277378,0.774405,0.273299,0.108741
-1.926941,-0.680047,-0.270579,1.105183,0.390036,0.155189
-1.870270,-0.660047,-0.262622,1.041133,0.367432,0.146195
-1.815266,-0.640635,-0.254898,0.980794,0.346137,0.137722
-1.761879,-0.621794,-0.247402,0.923953,0.326077,0.129741
-1.701723,-0.600564,-0.238955,1.148983,0.405494,0.161339
-1.635323,-0.577130,-0.229631,1.061067,0.374467,0.148994
-1.563888,-0.551920,-0.219600,1.212629,0.427955,0.170276
-1.473691,-0.520088,-0.206934,1.506308,0.531599,0.211514
-1.381171,-0.487436,-0.193943,1.134581,0.400411,0.159317
-1.288690,-0.454798,-0.180957,1.315754,0.464350,0.184757
-1.184426,-0.418002,-0.166316,1.249692,0.441035,0.175481
-1.071063,-0.377995,-0.150398,1.285606,0.453710,0.180524
-0.929033,-0.327870,-0.130454,1.501774,0.529999,0.210878
-0.752134,-0.265439,-0.105614,1.405918,0.496170,0.197418
-0.465213,-0.164181,-0.065325,1.476853,0.521204,0.207378
0.000000,0.000000,0.000000,1.492426,0.526700,0.209565
0.000000,0.000000,0.000000,0.704248,0.000000,0.000000
0.194241,0.413413,-0.156642,0.682824,1.453289,-0.550650
0.314691,0.669773,-0.253776,0.678828,1.444784,-0.547427
0.386146,0.821855,-0.311400,0.617399,1.314043,-0.497889
0.443431,0.943777,-0.357596,0.636386,1.354453,-0.513201
0.497356,1.058549,-0.401083,0.709096,1.509205,-0.571836
0.544261,1.158378,-0.438908,0.579825,1.234071,-0.467588
0.581660,1.237977,-0.469068,0.536949,1.142816,-0.433012
0.614296,1.307437,-0.495387,0.499260,1.062600,-0.402618
0.643536,1.369670,-0.518966,0.478033,1.017423,-0.385500
0.673026,1.432437,-0.542749,0.556035,1.183438,-0.448403
0.707288,1.505357,-0.570378,0.704739,1.499932,-0.568323
0.738773,1.572368,-0.595768,0.501352,1.067053,-0.404305
0.763704,1.625430,-0.615874,0.494933,1.053391,-0.399129
0.787637,1.676368,-0.635174,0.492724,1.048690,-0.397347
